Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",1,40.0,10,0,0,"","",
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",2,40.0,10,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",1,0,10,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",2,0,10,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",1,40.0,5,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",2,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",3,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",4,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",1,0,5,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",2,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",3,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",4,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",1,40.0,10,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",2,40.0,10,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",1,0,10,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",2,0,10,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",1,40.0,5,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",2,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",3,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",4,40.0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",1,0,5,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",2,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",3,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",4,0,5,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",1,40.0,10,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Kettlebell Swing",2,40.0,10,0,0,,,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",1,0,10,0,0,"",,
2021-02-01 13:45:00,"Q&D Mix x100","Chest Dip",2,0,10,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",1,20.0,10,0,0,"Progress","",
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",2,55.0,5,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",3,85.0,3,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",4,120.0,1,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",5,140.0,9,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Deadlift (Barbell)",6,125.0,10,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Overhead Press (Barbell)",1,20.0,10,0,0,"Progress",,
2021-02-02 13:30:00,"RPT Session 1","Overhead Press (Barbell)",2,32.5,3,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Overhead Press (Barbell)",3,55.0,10,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Overhead Press (Barbell)",4,50.0,10,0,0,,,
2021-02-02 13:30:00,"RPT Session 1","Overhead Press (Barbell)",5,45.0,10,0,0,,,
